'Planner', 'Visualization',Simulation_Time,'Max nr of acs in grid', 'dt', 'Nr Spawned acs', 'Avg nr of acs in grid',Mean t CBS',Max_t_alg, 'Total time',Average_route_time_per_ac,Max_route_time_per_ac,'Average route length per ac','Max route length per ac',,,CoV TTT,CoV ARA,CoV MRT,CoV MAT,,,,,
CBS,FALSE,97,5,0.5,50,4.587628866,0.010924777,0.079760551,4.039963484,9.4,12,18.8,24,,,,,,,,,,,
CBS,FALSE,91.5,5,0.5,50,4.480874317,0.016070062,0.183482647,4.218696356,8.7,12,17.4,24,,2,0.041263526,0.054693342,0,0.557223115,,16.39214039,12.265,,
CBS,FALSE,95.5,5,0.5,50,4.293193717,0.045265167,1.92303586,5.876356602,8.7,12,17.4,24,,3,0.030032961,0.045240133,0,1.421007405,,,,,
CBS,FALSE,93.5,5,0.5,51,4.417112299,0.004689876,0.056848764,3.911104679,8.598039216,12,17.19607843,24,,4,0.025362307,0.041824642,0,1.622446901,,,,,
CBS,FALSE,99,5,0.5,51,4.47979798,0.01247616,0.171515226,4.265219212,9.196078431,12,18.39215686,24,,5,0.030727283,0.039920583,0,1.67094141,,,,,
CBS,FALSE,93,5,0.5,50,4.268817204,0.012832824,0.239162922,4.212818384,8.44,12,16.88,24,,6,0.029313978,0.042274589,0,1.647254752,,,,,
CBS,FALSE,97,5,0.5,50,4.149484536,0.04203378,0.815269709,5.743826389,8.55,12,17.1,24,,7,0.027928748,0.04071205,0,1.371874909,,,,,
CBS,FALSE,91.5,5,0.5,50,4.289617486,0.049395038,1.24755764,5.910645247,8.35,12,16.7,24,,8,0.029448963,0.042033824,0,1.158942134,,,,,
CBS,FALSE,98.5,5,0.5,50,4.345177665,0.03002135,1.183730841,5.462418079,9.06,12,18.12,24,,9,0.030409379,0.040983192,0,1.020656787,,,,,
CBS,FALSE,94.5,5,0.5,50,4.343915344,0.0302757,0.929487944,5.018544436,8.71,12,17.42,24,,10,0.028775851,0.038744563,0,0.932359282,,,,,
CBS,FALSE,96.5,5,0.5,50,4.243523316,0.034302518,1.328438044,5.4921453,8.69,12,17.38,24,,11,0.027620697,0.036890876,0,0.85575654,,,,,
CBS,FALSE,99,5,0.5,51,4.297979798,0.032383432,0.965425253,5.2567904,8.843137255,12.5,17.68627451,25,,12,0.028616979,0.03524592,0.011986511,0.800442296,,,,,
CBS,FALSE,99,5,0.5,50,4.343434343,0.010035393,0.098802328,4.299331903,9.1,12,18.2,24,,13,0.029099009,0.035222516,0.011519333,0.861088321,,,,,
CBS,FALSE,83,5,0.5,50,4.34939759,0.017268613,0.615465164,4.856925488,7.72,12,15.44,24,,14,0.045803589,0.047452898,0.011102841,0.835972368,,,,,
CBS,FALSE,89.5,5,0.5,50,4.379888268,0.005247417,0.06981349,4.209533453,8.34,12.5,16.68,25,,15,0.046689596,0.04721639,0.014580074,0.892016763,,,,,
CBS,FALSE,94,5,0.5,50,4.430851064,0.022245086,0.806954622,4.898212671,8.83,12,17.66,24,,16,0.0451444,0.045739823,0.014158136,0.851748655,,,,,
CBS,FALSE,97.5,5,0.5,51,4.205128205,0.074168046,3.007219553,7.309308052,8.539215686,13,17.07843137,26,,17,0.044301095,0.04456731,0.023201522,0.980549527,,,,,
